Complaint	Priority
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
The park has no benches.	3
I can't get a medical appointment.	1
The internet in my area is too slow.	3
The power outage lasted 3 days.	2
The road outside my house is broken and unsafe.	1
The public park is not clean.	2
The garbage truck comes very late every day.	3
The streetlights are not working.	1
My water supply is irregular.	1
The traffic lights are broken.	1
